"year","StateCourse","CourseContentAreaSubcategory","Gender","Total","Asian, Not Hispanic","Black or African American, Not Hispanic","Filipino","Hispanic","Missing","Two or More Races, Not Hispanic","White, Not Hispanic","American Indian or Alaska Native, Not Hispanic","Native Hawaiian or Pacific Islander, Not Hispanic","Not Reported","Disability","SED","EL"
"2018","2471-AP  Computer science AB","","F",37,6,1,1,20,2,1,6,,,,0,23,1
"2018","2471-AP  Computer science AB","","M",104,13,7,1,48,1,2,32,,,,4,59,3
"2018","7260-Introduction to Game Design","","F",34,7,3,1,6,,5,12,,,,5,12,0
"2018","7260-Introduction to Game Design","","M",334,21,14,22,118,,17,142,,,,45,117,2
"2018","7261-Intermediate Game Art and Production","","F",2,,2,,,,,,,,,0,0,0
"2018","7261-Intermediate Game Art and Production","","M",76,4,,4,36,2,4,26,,,,11,32,8
"2018","7262-Advanced Game Art and Production","","M",15,,,2,6,,,7,,,,2,3,0
"2018","8100-Introduction to Information and Communication Technologies","","F",542,14,10,4,418,,9,84,3,,,22,420,51
"2018","8100-Introduction to Information and Communication Technologies","","M",1303,32,20,12,925,4,10,295,4,1,,156,911,144
"2018","8110-Introduction to Information Support Services","","F",40,,8,,28,,1,3,,,,4,35,2
"2018","8110-Introduction to Information Support Services","","M",84,2,11,2,47,1,3,18,,,,16,71,4
"2018","8111-Intermediate Information Support Services (Concentrator)","","F",94,,5,1,67,,,19,1,1,,16,70,10
"2018","8111-Intermediate Information Support Services (Concentrator)","","M",227,7,24,6,148,,5,36,,1,,47,175,26
"2018","8112-Advanced Information Support Services (Capstone)","","F",29,,3,,23,,,2,,1,,3,26,2
"2018","8112-Advanced Information Support Services (Capstone)","","M",109,2,3,3,92,,1,6,2,,,8,85,3
"2018","8120-Introduction to Networking","","F",10,1,1,,7,,,1,,,,0,6,1
"2018","8120-Introduction to Networking","","M",60,,3,,50,1,,6,,,,8,52,11
"2018","8121-Intermediate Networking (Concentrator)","","F",35,1,,1,23,2,2,6,,,,4,16,4
"2018","8121-Intermediate Networking (Concentrator)","","M",100,10,5,2,42,2,5,33,,1,,19,60,6
"2018","8122-Advanced Networking (Capstone)","","F",6,,,,2,,,4,,,,0,2,0
"2018","8122-Advanced Networking (Capstone)","","M",15,,,,9,,,6,,,,0,8,0
"2018","8130-Introduction to Systems Programming","","F",129,8,11,2,72,,8,28,,,,7,90,10
"2018","8130-Introduction to Systems Programming","","M",543,17,32,23,303,3,24,139,1,1,,56,329,49
"2018","8131-Intermediate Systems Programming (Concentrator)","","F",226,39,20,12,124,3,3,21,1,3,,9,144,2
"2018","8131-Intermediate Systems Programming (Concentrator)","","M",547,89,41,24,268,2,21,100,1,1,,24,330,10
"2018","8132-Advanced Systems Programming (Capstone)","","F",63,17,2,1,26,,2,15,,,,0,35,3
"2018","8132-Advanced Systems Programming (Capstone)","","M",221,43,7,12,99,,2,56,2,,,3,115,2
